Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
1772821586329486,Macropolisqr,Alejandro Vargas Gonzalez,3000,3
175720286374563,Noticel,NOTICEL MX,3000,2
1647924832123944,Rey Delgadillo,Rey Delgadillo,3000,4
266763400088630,Arturo Yañez Cuellar,Guerrilla Lab,3000,1
114334086978029,Cronica Digital,Crónica Digital,3000,2
109234497481457,Amanecer,Amir Saadi Gonzalez Sanchez,3000,1
702350106507959,Aldo Maldonado,Aldo Salvador Maldonado Macías,3000,3
103210996388042,The George Washington University - GSPM Latinoamérica,Francisco Gaona,3000,7
383485038864144,Edgar Garmendia,Edgar Valentin Garmendia De Los Santos,3000,1
112387846947665,TecSalud,These ads ran without a disclaimer,3000,1
403600326327569,Meme Cavazos,Meme Cavazos,3000,1
225661297566343,Silvia Estrada Esquivel,Silvia Estrada Esquivel,3000,1
1291483384218104,Fresnillo Municipio,Fresnillo Municipio,3000,31
330833207099770,Raúl Ortega Solis,Raúl Ortega Solis,3000,4
140795939947196,Selina Trujillo,Selina Trujillo Arizmendi,2997,33
110407990687031,Juan Carlos Hernández Chaires,Dante Rocha Sagaon,2994,24
1099369196805801,Gobierno Municipal de Pueblo Nuevo 2019 - 2022,Sarah Michelle Favela Reveles,2993,7
265025393695557,Callejón Informativo,Jose Alam Chavez Jacobo,2993,35
569463426492180,Jorge López Martín,Jorge López Martín,2990,6
460363874168176,ICETT,Nestor Rodriguez,2990,9
111202433770726,huamantla.TV,Adolfo Ortega Rivera,2990,15
100446537242618,Miguel Zarate,tocino.mx,2984,24
796435870448972,Mauricio Fernández Garza,Mauricio Fernández Garza,2983,4
112283340427750,Dra. Graciela Dorantes Lara,Jose Angel Jiménez Cruz,2980,16
153155041933831,Paulo Yolatl,Paulo Yolatl Rivas Tejeda,2979,2
116190211867723,Leobardo Alcántara Martínez,These ads ran without a disclaimer,2978,3
109487180780012,,These ads ran without a disclaimer,2974,1
211812842216583,Cursos de diseño interior y paisajismo Lucila Elizondo,These ads ran without a disclaimer,2964,4
826775571055849,Regidor Arnoldo Douglas Álvarez,Arnoldo Douglas Alvarez,2959,4
1543043655976521,Toni Cabrera,Extendrix,2955,2
726116470797221,Cristina Portillo,Ariel Arroyo Mendoza,2949,6
206847849996489,Ayuntamiento de Atlixco,Ayuntamiento de Atlixco,2945,18
349170969021130,El Incorregible,These ads ran without a disclaimer,2945,2
100900134655821,InfoMexicali,These ads ran without a disclaimer,2937,1
135801647934614,Yo Rechazo la Corrupción y la Impunidad,These ads ran without a disclaimer,2932,5
529119103843721,Ahora La Verdad,Ahora La Verdad,2916,23
425640357475498,Next International Business School,These ads ran without a disclaimer,2913,1
101845041252638,Despierta Zacatecas,Vangelis Hernandez Montess,2911,11
140402265972913,IACIP GTO,IACIP GTO,2903,9
2193510434238947,La esperanza de México,La esperanza de México,2902,16
405147593422244,Dreamyard,These ads ran without a disclaimer,2902,1
548888578474160,Juan Zepeda,Néstor Cruz,2902,4
1742814699368477,Juan Abdo Regidor,Diana Garcia Corona,2900,16
1522195418029530,Político MX,These ads ran without a disclaimer,2899,9
1455020028114688,Jaime Bueno Zertuche,Hilda Alejandra Garcia Rodriguez,2897,11
275261546686940,Joel Molina Ramírez,Jacob Flores Jimenez,2897,4
174504536386541,ISIFE   Instituto Sinaloense De La Infraestructura Física Educativa,Maria Guadalupe Landeros Guicho,2890,3
297126493646247,Innova Media Tamaulipas,Innova Media Tamaulipas,2888,34
100425405130792,Ixtepec Informado,Edgar Eduardo Gutierrez Santiago,2886,1
233604220888841,Adriana Esther Martínez Sánchez,Adriana Esther Martinez Sanchez,2886,118
108238361037504,Adriana Lezama,Adriana Lezama,2885,16
833021220209533,Regeneración 3.0,These ads ran without a disclaimer,2884,5
1676618105947921,Tu Prepa Con Un Sólo Examen Toluca,These ads ran without a disclaimer,2881,5
1099517326878319,Diputada Mercedes Maciel,Jenson Design & Mktng,2877,25
728859823802211,Luis Donaldo Colosio Riojas,These ads ran without a disclaimer,2877,14
1004756759547982,Javier Estrada,Javier Estrada,2871,6
103615024549475,Jorge Candelaria Martínez,Encuentro Social Hidalgo,2869,9
103837151375178,CCM Marketing,Alejandro Galindo Moreno,2867,10
23917569731,Telesur,These ads ran without a disclaimer,2867,1
626319174166439,José Esquivel Vargas "Chak Meex",Edgar Efren Poot Castillo,2850,10
965850250122124,Concejal Martha Adriana Amaya Casio,Martha Adriana Amaya Casio,2849,35
820039028079165,Gerardo Pliego,These ads ran without a disclaimer,2843,1
1440986392590570,Noticias Costa News,Noticias Costa News,2843,14
196546067032591,Secretaría de Seguridad Pública,Bogusys,2839,2
101055380726163,Referente,Miguel Angel Sánchez Gonzalez,2838,13
106242164479833,Nodo,Nodo News,2833,4
113619140430256,DC7 Comunicación,Kika Gomez,2827,6
109151534084366,Monica Montero,Patty Nuncio,2823,8
6431878727,The Economist Intelligence Unit,These ads ran without a disclaimer,2823,25
236858516331750,RADIOFUSION TV,Leonardo Hernandez,2822,28
471418149689844,Erika Rodríguez,Erika Rodríguez,2819,2
290515688205517,Anita Beltrán Peralta,Jenson Design & Mktng,2814,13
670501623092621,Miguel Angel Almaraz  Maldonado,José Luis Fuentes Guevara,2814,2
1375905182728267,Universidad Vizcaya Uruapan,These ads ran without a disclaimer,2812,1
103398014859164,Dulce Rangel,Néctar Digital,2811,6
100454621837197,Carlos Rodriguez Burgara,These ads ran without a disclaimer,2810,3
2272530003017349,Jorge Armando Lopez Espinoza,Jorge Armando Lopez Espinoza,2808,13
131240556973754,PAN  Querétaro,PAN  Querétaro,2808,49
129556251000187,Donají Alba,Donají Alba,2806,5
158263018299207,Daniel Torres Gonzalez,Daniel Torres González,2805,14
102088858348307,Región Olmeca de Veracruz,These ads ran without a disclaimer,2801,2
616495625154640,Gerardo Pozos Rodriguez,Gerardo Pozos Rodriguez,2800,7
479751765559726,Manuel Hernández Badillo,Manuel Hernández Badillo,2800,14
100920996737411,Gobierno  de Zapotlanejo,Comunicación Social del Gobierno de Zapotlanejo,2800,6
111687010730240,ProVida de por vida,Eduardo Herrera Morales,2800,2
316162282245753,Ovidio Peralta Suárez,Ovidio Peralta Suárez,2800,7
105239490854382,Eduardo Campos Flores,Eduardo Campos Flores,2792,15
790122277825560,Sentido Común,Rafael Pasaye,2788,6
102649798288589,Morena-San Salvador Hidalgo-Simpatizantes,Richard Camargo Angeles,2781,4
2014781362105552,E1 Debate Colima,E1 Debate Colima,2781,30
766512106764480,Erasmo González Robledo,Aliek Orlando Morales Vazquez,2780,11
108067917694089,Rosa Isela Piña Avila,Rosa Isela Piña Avila,2770,32
1322815381066082,Yolanda Caballero Jacobo,Yolanda Caballero,2760,14
700665733456070,Reserva San Nicolás,These ads ran without a disclaimer,2760,6
180533315991,Guanajuato Gobierno del Estado,These ads ran without a disclaimer,2758,8
192366194179807,León Municipio,These ads ran without a disclaimer,2756,1
744689565632285,Tu Prepa Con Un Sólo Examen Querétaro,These ads ran without a disclaimer,2750,5
1484611188417871,Omar Fayad,These ads ran without a disclaimer,2750,2
515187618883015,Gabo Salazar,These ads ran without a disclaimer,2750,4
675581639228532,Germán Cervantes Vega,German Cervantes Vega,2748,33
145663089566078,Regiduria Séptima Minatitlan,Blas Avalos,2747,17
1879328292298272,Subsecretaría de Educación Media Superior y Superior de Veracruz,Jorge Alejandro Brandi Herrera,2741,4
1509051455891513,Carlos Moncayo,Carlos Moncayo,2738,19
111241965674759,Felipe Ledezma,Felipe Ledezma,2735,12
145731329345736,Lariza Pérez,Lariza Pérez,2730,3
104695271399340,El Informador Noticias,EL INFORMADOR NOTICIAS,2729,6
1154021544764355,Héctor Sauza,Héctor Sauza Cervantes,2727,3
102702128282439,Juárez Firma,These ads ran without a disclaimer,2721,5
164664237407701,H. Ayuntamiento De Zongolica 2018-2021,Juan Carlos Mezhua Campos,2720,7
135254921271577,El Diario de Sinaloa,Irma Hernández Rios,2720,21
449095701815347,Salvador Zamora,These ads ran without a disclaimer,2720,13
117806443211471,Luis Enrique Cadena García,Carlos Jahir Guzmán Serrano,2715,9
151796208773853,Fronterizo del Sur,Fronterizo del Sur,2715,10
1476045052505068,Bernardo Morales,These ads ran without a disclaimer,2712,4
771241879692305,Guadalupe Orona,Ricardo Alberto Calleja,2708,13
1753631398235344,"Ah, Que mi lindo Campeche","Ah, Que mi lindo Campeche",2707,2
657288521370488,Estarbacks,Estrategia Social,2703,1
358878417540004,Humberto Prieto Herrera,These ads ran without a disclaimer,2699,4
1540267016299241,Gobierno de Atizapán de Zaragoza,Gobierno de Atizapán de Zaragoza,2698,40
726116470797221,Cristina Portillo,Hugo Ernesto Rangel Vargas,2693,9
114753760355994,Néstor García López,Eloisa López Gómez,2692,33
1586774481595518,Políticos al desnudo,Políticos al desnudo,2682,72
369716686400100,Deprimera Noticias,Bernardino Felipe Chavez Arroyo,2680,9
306197123159630,Instituto Nancy Campbell,These ads ran without a disclaimer,2680,3
164177220274782,Avance y Tecnología en Plásticos,These ads ran without a disclaimer,2680,25
182260535172551,IZQMX,Luis Enrique González Trujillo,2679,2
278268919245798,El Candidato MX,El Candidato MX,2674,42
1462284390547120,Secretaría de Planeación - Campeche,SEPLAN CAMPECHE,2671,11
102383228265649,La Crónica de Hermosillo,La Crónica de Hermosillo,2663,64
1589845857911999,DNA,These ads ran without a disclaimer,2660,2
100810841794798,INDEP - Instituto Para Devolver al Pueblo Lo Robado,These ads ran without a disclaimer,2660,1
271835580296655,Info Punto MX,Info Punto MX,2660,4
207628795933903,Mundo Ejecutivo,These ads ran without a disclaimer,2660,4
582882088537982,Dinerito Xtra,These ads ran without a disclaimer,2659,3
255455298533982,Adriana Aguilar,Iris Adriana Aguilar Pavón,2655,9
110302480665324,Toño Chávez,Toño Chávez,2650,15
559173111279149,Carlos Miguel Aysa González,These ads ran without a disclaimer,2650,9
725419117551736,Marcial Rodríguez Saldaña,Marcial Rodríguez Saldaña,2650,8
215474162361086,Agenda Viral,Agenda Viral,2649,7
526399900794031,Sombrerazos,Sombrerazos,2644,15
127785700704360,Luis G. Acosta.,Martha Isabel Berra Axalco,2641,24
1222283857934791,Hombres Peligrosos,These ads ran without a disclaimer,2640,1
254023505289636,Ayuntamiento de Tecámac 2019-2021,Dulce Margarita Martinez Sánchez,2640,4
138943970210808,"Derechos Humanos Morena, Ciudad de México",Miriam Alejandra Maldonado Lara,2634,13
1574076239509527,Víctor Báez,These ads ran without a disclaimer,2630,3
117256923478042,Ala Democrática,These ads ran without a disclaimer,2626,2
106582740938544,BC al Descubierto,Diana Angelica Rodiguez Franco,2625,17
2021131391348821,Yair Rodriguez,Jair Del Jesus Rodriguez Medina,2622,58
283754378857499,Hoy Toluca,Uzziel Lõpez,2610,7
859819970781818,La Neta Digital Mx,Enrique Javier Cruz Romero,2608,27
1476045052505068,Bernardo Morales,Bernardo Morales Morales,2606,33
242800706132506,PRD Guanajuato,MATS MEDIA,2605,13
1661676774101223,Claudia Agatón,Claudia Josefina Agatón Muñiz,2602,25
687302354973258,Dimna Salgado Apátiga,Dimna Guadalupe Salgado Apatiga,2602,3
271769919594700,Polo Domínguez,These ads ran without a disclaimer,2601,6
130487554337676,César Mateos Benítez,César David Mateos Benítez,2600,13
612134718908798,PAN Tepa,PartidoAcciónNacional/TepatitlánDeMorelos,2600,3
780651975342188,María Elena Abaroa,Hector Amauri Huerta Morán,2600,8
310447809610266,Nido Rooms,These ads ran without a disclaimer,2600,1
340280262754269,Tequila Mayorazgo,These ads ran without a disclaimer,2599,1
104076868069037,Paco Martínez,These ads ran without a disclaimer,2599,4
331303163575225,Red Familia,Red Familia,2594,7
149235428457169,Centro de Vida Lomas,Maria Teresa Márquez,2593,19
455232154649341,El Cuarto Poder,Félix Gabriel Hernández Zavala,2593,15
100111178451105,NotiDiario,NotiDiario,2585,4
751014498346434,La voz de San Luis Rio Colorado.,David Francisco Espinoza Amado,2582,17
444753445713051,Isa Ortiz,Lessiel Yolanda Rodríguez Barajas,2581,8
595111941149849,Javier Hernandez Alvarado,Javier Hernandez Alvarado,2578,15
109234497481457,Amanecer,Amanecer,2577,4
129974513688462,Universidad Mexicana,These ads ran without a disclaimer,2576,1
1561665210574560,Giovanni Contestabile Borbolla,Giovanni Borbolla,2570,22
1256616351140075,Nora Lagunes Jauregui,Nora Jessica Lagunes Jauregui,2562,10
642536792588121,Maria De Los Angeles Arévalo Bustamante,Maria De Los Angeles Arévalo Bustamante,2559,3
168023469879805,Cristopher Echenique,Cristopher Reynaldo Echenique Olivares,2554,11
824895057843845,Dale Poder al Poder,Edith Carina Rodriguez Moreno,2550,4
292496132255,Antonio Tello - NTV,These ads ran without a disclaimer,2546,10
102466148227782,Cesar Orta,Agencia 706,2545,9
979064415502917,Izquierda Coahuila,PRD Coahuila,2544,18
451130855086394,Polo Deschamps,Abbadon Social Media,2538,12
327818114088448,SmapaCampeche,SmapaCampeche,2538,14
323065168895,Windsor Smith,These ads ran without a disclaimer,2534,5
318167042321424,Grupo Sandy's Restaurantes,These ads ran without a disclaimer,2534,1
1643961935919108,KHOOL · Escuela de Imagen y Maquillaje,These ads ran without a disclaimer,2530,9
243212749184750,Bunker Corporativo Legal.,Gabriel Alan Salazar Soto,2527,9
124570044331234,Regio Dental,These ads ran without a disclaimer,2522,4
105928317858530,Comités de Defensa de la 4T Baja California,These ads ran without a disclaimer,2519,1
110075384163131,Juan Gabriel Nuve López,Juan Gabriel Nuve López,2515,7
734796453240502,Lorenzo Rivera Nava,These ads ran without a disclaimer,2514,1
2015055852057477,Gobierno de Bahía de Banderas,Gobierno de Bahía de Banderas,2514,5
103535011045921,Morenistas de lado correcto de la historia,These ads ran without a disclaimer,2512,1
1112450088790880,Claudia Luna,Claudia Lilia Luna Islas,2512,9
1478050622462121,Periódico Realidades de Nayarit,Justino Daniel Rodriguez Murray,2509,6
579377279231614,Cuatrote Mx,Cuatroté,2505,3
1683612331919443,Gobierno de Jocotepec,Gobierno de Jocotepec,2505,5
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,2504,1
109653217606162,El Ring,Anaí Torres M. Del Campo,2500,1
311698892356871,Kehila Kú,Kehila Kú,2500,1
108069314343236,Noticiario Hidalgo Oficial,Armando Rangel,2500,4
793924030754840,Saúl Huerta,Erick Fernando Martinez Hernandez,2500,1
110689463979477,Avanza Tamaulipas,Veronica Carreño Hernandez,2500,3
546199819211730,El Deforma Aguascalientes,El Deforma Aguascalientes,2500,3
189832718482833,Marcos Barajas Yescas,Marcos Barajas Yescas,2500,5
101917138134443,Alianza Telefonista,Ma. Cristina Zaragoza Lemus,2500,4
273797982716295,Lupe Vera,J. Guadalupe Vera Hernández,2500,4
113378903779751,BCS con AMLO,Tania Silva Uscanga,2500,2
820774044754304,Escándalo Político,Oswaldo Espinosa Carrillo,2500,2
236327629868256,Raúl Pozos,Miguel Burgos,2500,6
1424369637876973,Joel Padilla,These ads ran without a disclaimer,2500,5
1871695586480222,Anonymous Azteca,Claudia Ivonne Contreras Rivera,2500,3
167245016177,Javier Osante Solis,Javier Renan Osante Solis,2499,4
105765557650121,Raymundo Gómez García,These ads ran without a disclaimer,2498,4
140973503167143,Tello Moreno,Emeterio Moreno Magos,2496,5
375733635828609,Ogilvy México,These ads ran without a disclaimer,2495,1
101325268156853,PRD Cortazar,Ads Project Media,2495,1
1452910498086309,Puebla Informada,Zulema Lizeth Diaz Vera,2490,14
653754758097950,Anamary Fotografa,These ads ran without a disclaimer,2489,4
400659113653329,El Calabazo Héctor Villegas González,Erick Francisco Cervantes Tovar,2481,3
102023281535094,Luis Abraham Campos,Luis Abraham Campos Bejarano,2478,19
113429670486058,Clemente Gómez,Clemente Gómez Medina,2478,11
109819627424443,Joaquín Barrios Cuevas,These ads ran without a disclaimer,2477,9
113855093800296,Óscar Pérez Barros,Óscar Pérez Barros,2470,13
504611086320350,Verdades Morena y Gobierno,Andres Cuauhtemoc Tovilla Saenz,2462,14
697782547078464,Hector Magaña Meza,These ads ran without a disclaimer,2462,21
1751960648161248,Nitzia Gradias,Nitzia Gradias,2461,15
761138187365779,Oscar Ruiz Díaz,Oscar Ruiz Díaz,2456,4
149264748420725,Gobierno del Estado de Aguascalientes,These ads ran without a disclaimer,2450,1
439795649786072,Claudeth Sarricolea,Jesús Alfonso Chio López,2448,8
103562608143075,,Judith Crispin,2446,6
175078189586685,Morelos Rinde Cuentas,Morelos Rinde Cuentas,2445,11
111180007095879,Aguascalientes al Día de Hoy,These ads ran without a disclaimer,2427,1
640731182721374,Eduardo Martínez Arcila,Eduardo Martinez Arcila,2425,4
154316991789017,Átomos News,Átomos News,2423,15
101365268384456,Fortalezcamos Morena,Jorbai TV Marketing,2420,54
673353239434698,Ayuntamiento de San Mateo Atenco,Carlos Alberto Serrano Manjarrez,2418,13
261183793923166,Ismael Del Toro Castro,Movimiento Ciudadano Jalisco,2418,3
1484617598279030,Jesús Melgoza Velázquez,Jesús Melgoza Velázquez,2415,3
221944234835643,Chiapas Networks,Chiapas Networks,2412,5
184043895561115,Ricardo Aguilar Gordillo,Ricardo Aguilar Gordillo,2411,2
273703559507054,Juan Carlos Briz,Juan Carlos Briz Cabrera,2403,17
932347670168225,La Lupa Lagos,La Lupa,2401,4
1575082546067509,Los Altos Television,Los Altos Television,2400,6
192821671347617,Faustino Hernandez Alvarez,César Arturo Marrujo Terrazas,2400,4
815084088508730,Dr. Chilo,Dr. Chilo,2400,13
104340508081650,Ramón Villegas R,These ads ran without a disclaimer,2400,9
600724470080629,El Jitomatazo.com,Diarios Electrónicos de México,2394,70
194750447218862,Fiscalía General del Estado de San Luis Potosí,Beatriz Medina,2391,4
1405292199764216,Eugenio Govea,Eugenio Govea Arcos,2390,17
386556878368398,Axend,These ads ran without a disclaimer,2388,13
102349524975947,Zimapán Pueblo Mágico,Zimapán Pueblo Mágico,2388,5
111678616214013,Adela Piña Bernal,Adela Piña Bernal,2386,14
148455605173946,Luces del Siglo,Luces del Siglo,2386,7
100485841688321,Vitadeyun,These ads ran without a disclaimer,2381,1
193610891272411,Iliana Medina,These ads ran without a disclaimer,2379,3
1750219181920850,Manuel Angulo,Manuel Antonio Angulo Solis,2378,3
239937582821120,Notired,These ads ran without a disclaimer,2375,2
326656641417748,Manolo Solis,Luis Garay,2375,7
110236747187168,Karla Velazquez - Segunda Regidora,Karla Velazquez,2372,7
103100237863391,Samuel Ríos Moreno,Yanett Soto,2372,11
101069881617573,El Municipio,Leonardo Segura Gutiérrez,2366,11
109981984173722,Dr. José Ramón Amieva Gálvez,Ramón Amieva Gálvez,2363,7
1446239795673403,Ivette Audiffred,Luis Enrique Pascacio Vasquez,2361,4
101366865028802,Rodolfo Castro Valdez,Rodolfo Valdez,2359,8
106397987870571,Andres Espinosa Galvan,Andres Espinosa Galván,2358,12
1052285921496726,Decide Centro,These ads ran without a disclaimer,2357,2
104401814724658,La Crónica de un Gallo,Deyenira Aimee De Guadalupe Salazar Martin,2357,14
103749201164696,Consejo para el Desarrollo Humano de Zacatelco,Ernesto Lopez Guerrero,2356,10
117194212331544,Edoméx Te Informa,Adán Figueroa,2355,6
105242281226449,PANteon,Panteon Guanajuato,2351,7
108879149152128,Reporteros Hoy,Reporteros Hoy,2350,10
118331073331110,Maximiliano Butrón,Marco Antonio Rodriguez Cordero,2344,11
120702106430234,Ana Chong,Campañas Scorpion,2343,11
543589789374296,Memo Toscano Diputado,Guillermo Toscano Reyes,2340,26
101160511319253,Los Milagros Café,These ads ran without a disclaimer,2338,1
211168919648590,Red Noticias Mx,These ads ran without a disclaimer,2335,3
102253707800036,República Alterna,República Alterna,2333,18
190855811746882,Noticias al momento,Noticias al momento,2332,2
1787021488267314,Gela Huerta Diputada Federal,Pablo Aguilar Torres,2331,14
138506541505,INE México,These ads ran without a disclaimer,2327,6
1537304226520460,Gobierno de Morelia,Alberto Alvarez Manriquez,2326,18
1097216813655702,Juan Francisco Aguilar Hernandez,Juan Aguilar Hernández,2321,5
1991314744487017,Garabato.info,Garabato.info,2320,9
111859857315175,El Imparcial,El Imparcial,2320,5
552813088456813,Carlos Muñoz Real Estate,These ads ran without a disclaimer,2319,51
558246544531604,Diario El Alba,Diario El Alba,2317,6
100316381802592,fundacionlobbying,These ads ran without a disclaimer,2317,1
106546474620987,Educacion - Cursos Online,These ads ran without a disclaimer,2311,1
259077387935244,Sergio Ascencio Barba,Rich Herrejón,2309,4
1511931155769587,Horacio Tijerina,Horacio Tijerina,2304,4
325791630359,La Barra Noticias,La Barra Noticias,2300,7
473085373068754,Jesus Pujol Irastorza,Jesus Pujol Irastorza,2300,7
100628451516738,Rafael Luna Alviso,Rafael Luna Alviso,2300,2
1990384197886444,Interacción Informativa,Pepe Estrada,2300,3
133672070716,Raúl Paredes Peña,Raul Paredes Peña,2297,73
111794789461570,Triple ERRE,Francisco Gabriel Reynoso Torres,2296,19
580443458675812,Partido del Trabajo Uruapan,Irma Bermúdez Bocanegra,2295,7
364121500284623,Octavio Pedroza,These ads ran without a disclaimer,2295,4
275360942548435,Manuel Cota,Manuel Humberto Cota Jimenez,2289,5
2242685036050999,María Eugenia Hernández Pérez,Ricardo Sánchez Alarcón,2286,6
2302857989962020,Nora De los Reyes,Alexei Marti Alonso De Los Reyes,2284,8
103992274483753,Working Consultive D&T,These ads ran without a disclaimer,2278,3
222901881622675,Diputado Ricardo Villarreal Loo,MO Servicios de Comunicación,2278,3
102640044973992,Eduardo Olguín Cruz,Efren Eduardo Olguin Cruz,2278,29
334842624043,Ensenada en Vivo Tv,Daniel Herrera Arau,2273,2
1050095798366632,Lucia Azucena Ramos Ramos,Lucia Azucena Ramos Ramos,2273,7
109334354249628,Fundadores Morena Maravatío,Morena Maravatío,2268,27
904634922903077,Arturo García Arias,Aldo Rincón Rodríguez,2266,3
105637577930754,Miguel Navarrete,Miguel Angel Perez Navarrete,2265,7
104225258136185,"Mes con Mes, Mayoreo y Menudeo",These ads ran without a disclaimer,2263,2
1324386224253570,RenderCad cursos,These ads ran without a disclaimer,2262,4
105738197699910,Nueva Alianza Ixmiquilpan,Jesús Moran,2259,5
105239337951764,El Almacén Médico,Ana Soto,2259,35
113429933789153,Rafael Gómez Salinas,Rafael Gómez,2258,6
166158997391660,Blanca Nieves Sánchez Arano,Blanca Nieves Sanchez Arano,2257,8
101155651379756,Kratos News,Kratos News,2247,5
1885982394996905,Regidor Jorge Luna,Jorge Ignacio Luna Hernández,2246,29
207342999740856,RIC Comunicación Estratégica,RIC Comunicación Estratégica,2246,11
586952104723669,Mondo di Moto,These ads ran without a disclaimer,2245,3
2116100378707873,Leticia Calderón Diputada,Leticia Calderón Fuentes,2245,12
355435361525943,Jesús Elizondo,These ads ran without a disclaimer,2242,4
260171391368533,Irene Roman Salgado,These ads ran without a disclaimer,2239,30
110829774107582,Sí Por México,These ads ran without a disclaimer,2238,3
107611105933015,Municipios Puebla,Municipios Puebla,2238,23
2242685036050999,María Eugenia Hernández Pérez,Ricardo Ernesto Estrada Hernandez,2231,13
154639194604520,Francisco Javier Rico Avalos,Francisco Javier Rico Avalos,2228,11
114093696904329,Goyo Iribarren,These ads ran without a disclaimer,2228,7
996550133767596,Cristina Torres,Maria De Los Milagros Alvarez Vidal,2221,12
112403715538444,Miguel Ángel Mancera,These ads ran without a disclaimer,2221,2
1734083513565249,Hablemos Claro con Gastón Montaño,Gaston Wenceslao Montaño Alvarez,2220,10
195509017138207,Grupo Consultor EFE,These ads ran without a disclaimer,2219,1
473654012824697,Juan Lombana Mercatitlán,These ads ran without a disclaimer,2213,7
1577965462348131,Ricardo Valle Méndez,Ricardo Valle Méndez,2211,5
110095280787535,Arq. Ricardo Tronco Peña,Ricardo Tronco Peña,2209,7
831329627228402,Jorge Morales Jiménez,Stephany Giovanna Gudiño Baez,2207,26
1013711568670043,Noticias RTQ,GRUPO VALPI,2205,2
1589016051357099,Paty Terrazas,H. Cámara de Diputados,2205,11
1645564615715704,Secretaría de Salud de Hidalgo,Secretaría de Salud de Hidalgo,2201,13
303230143834696,Jannete Guerrero Maya,Jose Eduardo Chamorro Palacios,2201,8
1523140624565532,Luis Susarrey,Luis Susarrey,2200,5
617214185047697,Oliva Noticias,Oliva Noticias,2200,15
249051075921281,Judith Sánchez,Marcos Barajas Yescas,2200,4
1872765882942974,Imelda Sanmiguel,Imelda Sanmiguel Sánchez,2200,7
102517274773492,Mari Rivero,These ads ran without a disclaimer,2199,4
114024430364416,YoXmx,These ads ran without a disclaimer,2196,6
108392107237753,Diputada Leticia Sánchez,Diputadas y Diputados de Morena Tamaulipas,2196,16
1338826526222530,Héctor Ponce,Héctor Ponce Tizoc,2196,57
315837068754941,Camelot Francisco Fiorentini,These ads ran without a disclaimer,2193,2
102917447943110,Morena Transformando a Michoacán 2021,Francisco Zúñiga Coria,2180,11
1977832929128002,Angel Emmanuel Gutiérrez,These ads ran without a disclaimer,2177,2
200439340288172,Caracol en Movimiento,Caracol en Movimiento,2177,29
108667254033669,Revista MILED,These ads ran without a disclaimer,2177,6
309268792816885,Christian López,These ads ran without a disclaimer,2172,4
112842750079244,Luis Lauro Reyes Rodríguez,Luis Lauro Reyes Rodríguez,2166,15
1480642705587590,Ficciones Noticias,Ficciones Noticias,2163,7
111675370551701,Ayudas Mexico,These ads ran without a disclaimer,2159,3
105140087995995,Diana Hernández,Francisco Rodríguez,2157,9
402568713092905,Higinio Del Toro,Miriam Magaña,2156,19
465531963489973,Verónica Delgadillo,Movimiento Ciudadano,2156,4
297526167389849,Radio Álamos en Linea,Berenice Granillo Gonzalez,2153,7
353013135358287,Licencias online,These ads ran without a disclaimer,2151,1
120102704694887,El Metropolitano de Veracruz,Raul Martinez Chavez,2151,17
407947602995581,Montse Ortega,Montse Ortega,2150,9
503090873547747,Karina Heredia,Karina Heredia,2150,8
142594496464952,Dip. Claudia Dominguez,Jose Urbano Martínez Contreras,2147,5
154019684642690,AMIS,These ads ran without a disclaimer,2145,2
2094070764180380,La Noticia,Salvador Elías Almodóvar,2142,3
410217283664,Instituto Andersen,These ads ran without a disclaimer,2140,1
782407738472767,Juan Rodolfo,Armando Marin Estrada,2139,24
317786922083190,"Citrus  Cursos, Publicidad y Marketing",These ads ran without a disclaimer,2136,9
232035797173312,Angelo Mattiello,Angelo Arturo Mattiello Guerrero,2135,4
372224370263707,Tendencias Campeche,These ads ran without a disclaimer,2135,13
193528471592711,Agenda Política,Gabriel Contreras Velázquez,2132,5
103496324836809,Por el bien de Morena,These ads ran without a disclaimer,2132,2
101853388325883,Culiacán Noticias,These ads ran without a disclaimer,2131,2
462822230452578,Diputado David Ruvalcaba Flores,Joel Abraham Blas Ramos,2128,9
111092387386882,Irma Tenorio Contreras,Sergio Javier Hernández Jerónimo,2125,4
915076508657285,H. Ayuntamiento de Fortín,H. Ayuntamiento de Fortín,2120,16
2001063220019135,Ricardo Morelos,Ricardo Hernández,2120,12
291379050963608,Consejo Cívico,Consejo Cívico,2119,21
388331188705045,Carxcter Noticias,Carxcter Noticias,2116,8
109444737300675,Actopan y Comunidades,Juan Angeles Hernandez,2115,19
1139996992730401,Universidad de México de Estudios a Distancia.,These ads ran without a disclaimer,2115,1
1420596421583045,José Narro Céspedes,These ads ran without a disclaimer,2113,15
100406648005207,Wilfredo Iván González Díaz,Alma Nydia Durán Salgado,2111,7
239068919987962,Irasema del Carmen Buenfil Díaz,Julian Arturo Lopez Luna,2110,11
420622325060579,Consulta & Norte,Consulta & Norte,2108,24
106232104468728,Iconic Sneakers,These ads ran without a disclaimer,2107,1
108762910893718,Joel Adrián Pérez Castañeda,Joel Adrián Pérez Castañeda,2105,32
111722236869896,Regidor Hugo Peñaloza,Victor Peñaloza Hernandez,2103,17
253121881542058,Edgar Olvera Higuera,Maria José Vielmann,2100,3
