Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
110320423807974,Latinus,Latinus,204935,6
335716460273030,El Clarín,El Clarín,204190,96
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano Jalisco,203728,64
183751562214729,David Cortés,David Cortes,198930,49
150350841649023,Gobierno del Estado de Veracruz,Gobierno del Estado de Veracruz,198387,17
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,194935,61
186993735240587,La Razón,La Razón,190065,80
639300266697863,Sol del Norte,Arturo Vázquez Rodríguez,185439,15
318951102340226,Salud Justa Mx,Salud Justa Mx,184735,4
136092926468080,PRI Oficial México,PRI Oficial México,182216,21
1870998949839678,El Siglo de México,El Siglo de México,180455,91
636616453626425,Crónica del Norte,Arturo Vázquez Rodríguez,179634,15
161020766408,Gobierno del Estado de Queretaro,SOME CONTENT MARKETING,178089,188
149334611927297,Benjamín Robles,Benjamín Robles,175003,119
384214801745089,Samuel García,Pre-campaña Gubernatura Movimiento Ciudadano - Samuel García,174730,7
108483517375174,Blue Propane,BluePropane,172490,27
236497390731999,Municipios y Alcaldes,Logística Digital MX,169365,23
169297823887012,Nuevo León TIMES,NL TIMES,169057,24
213630952742008,Mty News,MTY News,167733,32
416185532179806,El Quetzal,El Quetzal,165967,81
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,163215,116
1013139202203880,Polilogy,Polilogy,162216,124
435671773140069,Roberto Lara Rocha,Roberto Lara Rocha,161559,214
113175270449853,Valentín Rodríguez,Valentín Rodríguez,157591,49
113218720098550,Valor Financeiro,These ads ran without a disclaimer,153995,9
384214801745089,Samuel García,Pre-campaña Gubernatura Movimiento Ciudadano - Samuel García Sepúlveda,152806,18
427137767353498,Clemente Castañeda,Movimiento Ciudadano,151154,113
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,151070,7
760994790643040,Sergio Hernández Hernández,Sergio Hernandez Hernandez,150740,36
267018783320418,Democrats Abroad Mexico,Democrats Abroad,150471,57
1117222281664997,Gobierno Municipal de Chihuahua,Gobierno Municipal de Chihuahua,149650,66
101437378406987,Todos por Solidaridad,Todos Por Solidaridad,148929,13
101894304863048,Ocurrió Aquí,OcurrioAquiPlayaDelCarmen,147336,16
2298269493759657,Sergio Ojeda Castillo,Sergio Arturo Ojeda Castillo,147152,159
113493108666990,Gobierno del Estado de México,Edoméx,145103,8
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,144714,24
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,141052,125
106006482764390,Gobierno del Estado de Sinaloa,Gobierno del Estado de Sinaloa,140037,16
285058928236909,Mauricio Vila,Mauricio Vila,139744,130
113322233649553,Hugo Aguirre García,Hugo Aguirre Garcia,138818,299
449095701815347,Salvador Zamora,Gobierno de Tlajomulco,137128,27
245495562137150,Mitofsky,Roy Campos,137046,223
199145003957951,Arturo Martínez Núñez,Arturo Martínez Núñez,136848,27
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,136820,84
1439738092756927,Juan Carlos Mezhua,Juan Carlos Mezhua Campos,136524,221
279469625434543,Paco Cienfuegos,Paco Cienfuegos,134918,542
520075024716940,Movimiento Ciudadano Coahuila,Movimiento Ciudadano Coahuila,133663,49
437088163017257,Secretaría de Salud de Guanajuato,RutaDigital,133014,6
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,132836,67
103337707812182,Mujer México,ADsocial,132538,3
1052840808059324,Dulce Silva,Adsocial,132281,12
484623461576046,Gobierno del Estado de Durango,Gobierno del Estado de Durango,128961,29
109173420774938,De gente común.com,De Gente Común,128000,3
315635228543095,Adriana Fuentes Téllez,Tend,124519,30
354715814963697,Gerardo Aguado Gómez,Gerardo Aguado Gómez,123773,170
107861034380925,Dr. Anastacio Márquez,UDC - Unidad Democrática de Coahuila,123029,170
1536864953270388,BC Informa,Econtact,122664,65
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,122170,14
211358622680390,El Heraldo de México,These ads ran without a disclaimer,121918,51
1384134174966740,La Estampa de México,La Estampa de México,121611,91
121865181342631,Juárez a Diario,Juárez a Diario,120937,8
102026088323956,Raúl Cárdenas Thomae,Rául Cárdenas Thomae,120932,483
176727165686733,Radio y Televisión Querétaro,GRUPO VALPI,117832,40
115435760318952,Colectivo Baja California por la Democracia,Jesus Manuel Martinez Diaz,117615,6
225396874612682,Nacho Flores,Nacho Flores,117283,48
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,117208,3
180533315991,Guanajuato Gobierno del Estado,Ads Project Media,116056,28
2206407902940629,Adela Román Ocampo,Adsocial México,115594,29
153947391339205,Manolo Jiménez Salinas,Equipo MJ,112151,105
240666746557266,Jaime Cleofas Martínez Veloz,Jaime Cleofas Martínez Veloz,110383,104
109231034125795,El Incorregible,El Incorregible,109837,32
193610891272411,Iliana Medina,Iliana Medina,109163,354
124631600949535,Yo Influyo,YoXmx,108411,411
109927953731014,Periódico La Justicia,Periódico La Justicia,108218,69
1665047283579389,24/7 365 noticias,Logística Digital,108200,50
1730758870296537,Líder Quintana Roo,Líder Quintana Roo,107496,10
103749248038035,La Voz de México,ALAgencia,107150,26
418039951683898,Hernán Salinas Wolberg,Hernán Salinas Wolberg,107063,192
154652694604556,Ricardo Gallardo Cardona,Raul Ivan Lopez Guzman,106227,82
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,106009,11
146568692144740,Senadores del PAN,Senadores del PAN,105799,210
239582775483,Martín Orozco,Bogusys,105225,186
489123151148189,"Municipio de Guadalupe, Nuevo León","Municipio de Guadalupe, Nuevo León",105224,43
935198066565583,Central de Encuestas,Central de Encuestas,104905,39
631644384130821,Amanecer de Nuevo León,Arturo Vázquez Rodríguez,104179,7
191231480284,Gobierno de la Ciudad de México,These ads ran without a disclaimer,104091,3
137309263048418,Poncho Robledo,Poncho Robledo,100286,143
141231709227675,"Estado de Guanajuato, México",Ads Project Media,99999,29
355653434886423,Ruben Muñoz Alvarez,Ruben Muñoz Alvarez,99525,16
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,99168,41
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,98684,1
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,98123,30
208889643060921,Krishna Romero,Krishna Karina Romero Velazquez,98067,53
271769919594700,Polo Domínguez,Polo Domínguez,95689,250
227963537551809,Bingen Rementería Molina,Ángel Troncoso Morales,95069,26
327858987300829,Secretaría de la Juventud del Estado de Querétaro,GRUPO VALPI,94265,13
116437828394342,Phiten Mexico,Phiten Mexico,94263,138
195815324490948,Feliciano Flores,Feliciano Flores,93556,57
1861550397441449,Revista32,Revista32,93540,269
109193504243629,Encuestas MX,Logística Digital,93399,52
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,92766,56
310617808978370,Fito Bonilla,Fito Bonilla,91839,51
